1.      Table S1. Chemical composition and crystal structure parameters for the 106 samples.,,,,,,,,,,,,,,
,Sample,Amount of Liquid (µL) ± 1% dispensing error,,,,,Chemical concentration (at. %) ± standard deviation,,,,,Crystal structure,Lattice Parameter (A),Crystallite size
,,Y,Sm,La,Ce,Pr,Y,Sm,La,Ce,Pr,,,(nm)
Sm & Y,53,12.5,37.5,50,50,50,6±1,17±1,27±2,27±1,23±1,Fm-3m(100%),5.49239,86.7
,54,25,12.5,50,50,50,13±1,6±1,30±2,27±1,24±1,Fm-3m(100%),5.48344,73.9
,55,25,37.5,50,50,50,12±2,17±1,25±1,24±1,22±1,Fm-3m(100%),5.48714,84.5
,56,37.5,12.5,50,50,50,17±2,6±1,29±3,25±1,23±1,Fm-3m(100%),5.48289,73.2
,57,37.5,25,50,50,50,16±2,12±1,26±2,24±1,22±1,Fm-3m(100%),5.48685,75.5
Doped with,58,50,12.5,25,50,50,30±4,6±1,13±1,27±2,24±2,Fm-3m(100%),5.44105,80.7
Sm & La,59,50,12.5,37.5,50,50,26±2,6±1,18±2,26±2,24±1,Fm-3m(100%),5.46116,74.3
,60,50,25,12.5,50,50,30±2,12±1,6±1,27±1,25±2,Fm-3m(100%),5.42529,84.1
,61,50,25,37.5,50,50,25±2,12±1,18±2,23±1,22±1,Fm-3m(100%),5.46363,81.8
,62,50,37.5,12.5,50,50,28±2,17±1,6±1,26±1,23±2,Fm-3m(100%),5.42862,88.7
,63,50,37.5,25,50,50,23±3,17±1,13±1,24±1,23±1,Fm-3m(100%),5.43636,76.8
Doped with,64,50,50,12.5,50,25,28±2,27±1,7±1,27±1,11±1,Fm-3m(100%),5.42222,75.3
La & Pr,65,50,50,12.5,50,37.5,26±2,25±1,7±1,26±1,16±1,Fm-3m(100%),5.44468,80.2
,66,50,50,25,50,12.5,29±1,26±1,13±1,27±1,5±1,Fm-3m(100%),5.44681,67.8
,67,50,50,25,50,37.5,24±1,23±1,13±1,24±1,16±1,Fm-3m(100%),5.44879,74.4
,68,50,50,37.5,50,12.5,26±2,25±1,18±1,26±1,5±1,Fm-3m(100%),5.46367,67.9
,69,50,50,37.5,50,25,23±2,24±1,18±1,24±1,11±1,Fm-3m(100%),5.47372,68.9
Doped with,70,50,25,50,50,12.5,27±2,12±1,29±2,27±1,5±1,Fm-3m(100%),5.4668,54.1
Pr & Sm,71,50,37.5,50,50,12.5,27±2,17±1,26±1,25±1,5±1,Fm-3m-CeO2(98.3%),*5.46585,*60.5
,,,,,,,,,,,,Fm-3m-Ce(1.7%),,
,72,50,12.5,50,50,25,27±3,6±1,30±3,26±1,11±1,Fm-3m(100%),5.45911,57.5
,73,50,37.5,50,50,25,26±3,17±1,25±3,22±1,10±1,Fm-3m(100%),5.47901,60.1
,74,50,12.5,50,50,37.5,27±3,6±1,26±2,25±2,16±1,Fm-3m(100%),5.47586,64.9
,75,50,25,50,50,37.5,25±2,11±1,25±2,24±1,15±1,Fm-3m(100%),5.48406,68.6
Doped with,76,50,12.5,50,25,50,28±1,6±1,28±1,11±1,26±1,Fm-3m(100%),5.49203,78.7
Sm & Ce,77,50,12.5,50,37.5,50,27±2,5±1,27±1,17±1,24±1,Fm-3m(100%),5.47933,73.5
,78,50,25,50,12.5,50,27±3,12±1,29±3,7±1,25±2,Fm-3m(100%),5.48839,83.2
,79,50,25,50,37.5,50,24±3,11±1,26±1,16±1,23±1,Fm-3m(100%),5.49984,77.8
,80,50,37.5,50,12.5,50,27±4,17±1,25±3,6±1,25±2,Fm-3m(100%),5.499954,85.7
,81,50,37.5,50,25,50,26±1,17±1,24±1,10±1,23±1,Fm-3m(100%),5.49531,83.2
Doped with,82,50,50,50,12.5,25,27±3,26±2,30±3,6±1,11±1,Ia-3(100%),10.94121,67.3
Ce & Pr,83,50,50,50,12.5,37.5,27±1,26±2,25±2,6±1,16±1,Fm-3m(100%),5.48981,76.5
,84,50,50,50,25,12.5,28±1,27±1,28±2,12±1,5±1,Fm-3m(100%),5.46896,62.8
,85,50,50,50,25,37.5,26±4,22±2,26±3,11±1,15±1,Fm-3m(100%),5.47508,70.6
,86,50,50,50,37.5,12.5,26±1,26±1,26±1,17±1,5±1,Fm-3m(100%),5.48653,59.3
,87,50,50,50,37.5,25,24±2,23±2,27±2,16±2,10±1,Fm-3m(100%),5.48005,66
Doped with,88,25,50,50,50,12.5,12±1,26±2,29±2,27±1,6±1,Fm-3m(98.5%),*5.49497,*63.6
,,,,,,,,,,,,P4/nmm(1.5%),,
Pr & Y,89,37.5,50,50,50,12.5,16±2,25±1,28±2,26±1,5±1,Ia-3(100%),10.95435,60.7
,90,12.5,50,50,50,25,6±1,27±1,28±2,28±2,11±1,Fm-3m(100%),5.49823,71.5
,91,37.5,50,50,50,25,15±2,23±2,26±3,25±1,11±1,Fm-3m(100%),5.47675,70.5
,92,12.5,50,50,50,37.5,5±1,24±1,30±2,25±1,16±1,Fm-3m(99%),5.4952,63.2
,93,25,50,50,50,37.5,11±1,23±1,26±1,24±1,16±1,Fm-3m(100%),5.49486,77.1
Doped with,94,12.5,50,25,50,50,6±1,27±1,13±2,28±1,26±1,Fm-3m(100%),5.46391,105.1
Y & La,95,12.5,50,37.5,50,50,7±1,26±2,18±1,25±1,24±1,Fm-3m(100%),5.46736,90.2
,96,25,50,12.5,50,50,11±1,28±2,7±1,28±1,26±1,Fm-3m(100%),5.44692,99.1
,97,25,50,37.5,50,50,12±1,23±1,18±1,25±1,22±1,Fm-3m(100%),5.47179,89.6
,98,37.5,50,12.5,50,50,17±2,25±1,7±1,26±1,25±2,Fm-3m(100%),5.43249,98.2
,99,37.5,50,25,50,50,17±1,24±1,13±1,24±1,22±1,Fm-3m(100%),5.45781,83.7
Doped with,100,50,50,12.5,25,50,26±3,26±1,7±1,11±1,30±3,Ia-3(100%),10.85715,101.5
La & Ce,101,50,50,12.5,37.5,50,26±3,25±2,6±1,18±2,25±2,Fm-3m(100%),5.42465,93.4
,102,50,50,25,12.5,50,29±2,27±1,13±1,6±1,25±1,Ia-3(100%),10.89865,98
,103,50,50,25,37.5,50,26±3,24±1,11±1,16±1,23±1,Ia-3(100%),10.88859,92.5
,104,50,50,37.5,12.5,50,28±3,25±1,17±2,6±1,24±1,Ia-3(100%),10.93557,87.9
,105,50,50,37.5,25,50,26±1,24±1,17±1,10±1,23±1,Fm-3m(100%),5.46623,83.3
HEO,106,50,50,50,50,50,19±3,19±1,22±2,21±2,19±1,Fm-3m(100%),5.46832,76.2
,,,,,,,,,,,,,,
*Crystallite sizes and lattice parameters are given for the major phase.,,,,,,,,,,,,,,
